date,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,relative_humidity,rainfall_mm,snowfall_mm
2020-01-05,Macedonia,0,0,0,0,,,,,2077132,,,,,,
2020-01-05,Denmark,0,0,0,0,,,,,5806081,3.5,-1.927778,6.505556,89.59154,1.74625,
2020-01-05,Sweden,0,0,0,0,,,,,10230185,-2.238889,-6.238889,1.15,81.999814,0,
2020-01-05,Turkey,0,0,0,0,,,,,82003882,-0.361111,-4.288889,3.433333,77.749105,0.3048,35.56
2020-01-05,Estonia,0,0,0,0,,,,,1324820,-1.211111,-4.466667,2.283333,72.502741,0,10.16
2020-01-05,Lithuania,0,0,0,0,,,,,2794184,-0.527778,-3.125,1.777778,79.97126,0,
2020-01-05,Faroe Islands,0,0,0,0,,,,,48865,8.425926,6.666667,9.37037,93.17588,24.892,
2020-01-05,Hungary,0,0,0,0,,,,,9772756,2.320988,-1.41358,4.95679,63.070534,0.1905,
2020-01-05,Slovakia,0,0,0,0,,,,,5450421,-7.635802,-10.135802,-5.135802,78.716401,9.567333,666.75
2020-01-05,Germany,0,0,1,0,,,,,83019213,3.105556,0.666667,4.580247,90.505926,0.0508,
2020-01-05,Monaco,0,0,0,0,,,,,39244,9.34127,5.769841,13.825397,64.855665,0,
2020-01-05,Romania,0,0,0,0,,,,,19414458,-3.233333,-4.45,-1.533333,86.973313,1.27,45.085
2020-01-05,Russia,0,0,0,0,,,,,145934460,-11.666667,-19.759259,-8.037037,88.135137,4.910667,636.693333
2020-01-06,Iceland,0,0,0,0,,,,,356991,-0.54321,-2.41358,2.407407,91.262525,0,391.16
2020-01-06,Gibraltar,0,0,0,0,,,,,33691,12.691358,9.802469,16.679012,74.985624,0,
2020-01-06,Estonia,0,0,0,0,,,,,1324820,0.955556,-4.466667,2.627778,96.064581,3.429,20.32
2020-01-06,Sweden,0,0,0,0,,,,,10230185,0.622222,-3.616667,4.466667,94.057284,1.4224,
2020-01-06,Bulgaria,0,0,0,0,,,,,7000039,0.450617,-1.833333,2.919753,81.950099,0.834571,60.96
2020-01-06,Croatia,0,0,0,0,,,,,4076246,-1.3,-5.866667,4.677778,59.626665,0,
